id,title,primary_artist,all_artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_s,year,lyrics
0zK545STj6P7qbFSpCK9pp,No Matter What - Remastered 2010,Badfinger,['Badfinger'],0.529,0.743,9,-5.523,1,0.0481,0.177,0.0,0.0759,0.78,116.817,4,181,1970,None
1l1YTy9nJ0trwhsCGcimly,It's A Shame,The Spinners,['The Spinners'],0.372,0.642,11,-11.955,1,0.0594,0.0947,0.0,0.117,0.705,198.731,4,190,1970,None
6D8kc7RO0rqBLSo2YPflJ5,ABC,The Jackson 5,['The Jackson 5'],0.572,0.786,8,-8.469,1,0.0642,0.519,0.00093,0.11,0.952,188.115,4,175,1970,"[Intro: Michael Jackson]A buh-buh buh buhA buh-buh buh buh[Verse 1: Michael Jackson & Jermaine Jackson]You went to school to learn, girlThings you never, never knew beforeLike ""I before E, except after C""And why two plus two makes fourNow now now, I'm gonna teach you (Teach you, teach you)All about love, yeah! (All about love!)Sit yourself down, take a seatAll you gotta do is repeat after me[Chorus: Michael Jackson]A, B, CEasy as 1, 2, 3Or simple as Do-Re-MiA, B, C, 1, 2, 3, baby you and me, girl!A, B, CEasy as 1, 2, 3Or simple as Do-Re-MiA, B, C, 1, 2, 3, baby you and me, girl![Bridge: Tito Jackson, Jackie Jackson, Jermaine Jackson & Michael Jackson]Come on, let me love you just a little bit!Come on, let me love you just a little bit!I'ma gonna teach how to sing it out!Come on, come on, come onLet me show you what it's all about![Verse 2: Michael Jackson & Jermaine Jackson]Reading, writing, arithmeticAre the branches of the learning treeBut without the roots of love every day, girlYour education ain't completeT-t-t-teachers gonna show you (Show you, show you)How to get an ""A""! (Nyah nyah nyah nyah!)Spell me, you (You add the two)Listen to me baby, that's all you gotta do!"
1oOnOS4xNZOMpCT0lKTNo2,Raindrops Keep Fallin' on My Head - Rerecorded,B.J. Thomas,['B.J. Thomas'],0.578,0.434,5,-10.865,1,0.0471,0.802,0.00102,0.277,0.75,106.364,4,178,1970,None
7GqIDx2QVGOpd4r1fZaUUW,25 or 6 to 4 - 2002 Remaster,Chicago,['Chicago'],0.604,0.905,4,-7.059,0,0.0578,0.309,0.0632,0.0837,0.723,147.448,4,290,1970,None
5pkd9ib1RgbkAd1R9bIOCa,Cracklin' Rosie - Single Version,Neil Diamond,['Neil Diamond'],0.562,0.503,1,-14.836,1,0.0335,0.319,0.0,0.163,0.846,127.827,4,180,1970,None
3mlMpmY8oZIBFc39D9zLbh,The Long And Winding Road - Remastered 2009,The Beatles,['The Beatles'],0.299,0.329,3,-10.096,1,0.0279,0.756,0.0105,0.0559,0.392,132.282,4,218,1970,None
5RdhBLmB4DyFHLglRrfx63,I'll Be There,The Jackson 5,['The Jackson 5'],0.51,0.515,5,-7.247,1,0.0253,0.593,1.24e-06,0.654,0.331,93.212,4,238,1970,None
3RTUfvRgq3pYTf7XY0FIcS,Lookin' Out My Back Door,Creedence Clearwater Revival,['Creedence Clearwater Revival'],0.745,0.656,10,-6.393,1,0.0405,0.188,0.00337,0.0941,0.858,105.318,4,152,1970,None
0LfJkvPNCNEMLpZJgDQiV1,The Wonder of You,Elvis Presley,['Elvis Presley'],0.448,0.691,7,-6.957,1,0.0286,0.286,0.00111,0.945,0.633,88.836,4,153,1970,When no one else can understand meWhen everything I do is wrongYou give me hope and consolationYou give me strength to carry onAnd you're always there to lend a handIn everything I doThat's the wonderThe wonder of youAnd when you smile the world is brighterYou touch my hand and I'm a kingYour kiss to me is worth a fortuneYour love for me is everythingI'll guess I'll never know the reason whyYou love me as you doThat's the wonderThe wonder of youI'll guess I'll never know the reason whyYou love me as you doThat's the wonderThe wonder of you
