danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,nltk,Happy,Angry,Surprise,Sad,Fear,primary_genre
0.394,0.622,-8.258,0.0336,0.213,4.45e-05,0.0892,0.342,126.844,-0.9401,0.23,0.08,0.0,0.46,0.23,rock
0.43,0.463,-10.96,0.0442,0.303,5.84e-05,0.152,0.66,93.405,0.997,0.11,0.14,0.5,0.19,0.06,rock
0.432,0.389,-6.517,0.0255,0.687,0.0107,0.0788,0.158,139.506,-0.858,0.09,0.32,0.23,0.23,0.14,rock
0.45,0.442,-12.718,0.0353,0.493,0.00564,0.134,0.812,208.282,-0.911,0.09,0.22,0.0,0.57,0.13,rock
0.689,0.2,-18.634,0.0309,0.795,0.0327,0.0893,0.478,91.787,0.7109,0.26,0.0,0.47,0.21,0.05,rock
0.468,0.833,-5.847,0.0324,0.00654,0.000332,0.326,0.884,131.248,0.998,0.44,0.0,0.0,0.33,0.22,rock
0.686,0.92,-6.231,0.0566,0.301,0.27,0.0807,0.225,135.027,0.471,0.2,0.1,0.05,0.2,0.45,rock
0.388,0.176,-16.952,0.0299,0.912,0.000336,0.0977,0.342,97.628,-0.4497,0.14,0.43,0.0,0.14,0.29,rock
0.633,0.934,-3.594,0.0344,0.219,0.00021,0.0592,0.963,128.606,0.9973,0.18,0.0,0.36,0.36,0.11,rock
0.612,0.24,-12.821,0.033,0.745,7.86e-05,0.115,0.223,122.565,0.9615,0.22,0.09,0.13,0.22,0.35,rock
0.354,0.731,-9.178,0.0382,0.0812,0.00124,0.115,0.697,170.633,-0.8364,0.15,0.0,0.25,0.45,0.15,rock
0.51,0.876,-9.101,0.161,0.212,0.0,0.248,0.624,119.702,0.9935,0.12,0.06,0.59,0.12,0.12,rock
0.565,0.587,-7.393,0.0317,0.0573,0.00493,0.0416,0.966,147.462,-0.9961,0.81,0.0,0.0,0.19,0.0,rock
0.246,0.375,-14.409,0.0272,0.141,4.97e-06,0.109,0.511,90.53,-0.9118,0.13,0.07,0.07,0.67,0.07,rock
0.335,0.262,-13.832,0.0393,0.548,0.0,0.0971,0.203,68.82,-0.9832,0.06,0.03,0.22,0.62,0.06,rock
0.351,0.235,-11.513,0.0323,0.852,0.0,0.0688,0.218,74.72,0.9726,0.57,0.0,0.14,0.29,0.0,rock
0.698,0.643,-16.985,0.0649,0.803,0.0799,0.704,0.714,128.22,0.9895,0.14,0.14,0.14,0.29,0.29,rock
0.609,0.624,-11.717,0.0292,0.0396,0.000168,0.277,0.691,123.191,0.4836,0.09,0.05,0.09,0.45,0.32,rock
0.476,0.677,-11.175,0.0365,0.211,0.0,0.0601,0.691,170.879,-0.8519,0.0,0.0,0.0,0.64,0.36,pop
0.564,0.357,-12.752,0.0326,0.558,0.0,0.233,0.477,129.242,0.9418,0.11,0.21,0.16,0.05,0.47,rock
0.701,0.335,-13.534,0.034,0.293,0.00845,0.0872,0.824,122.239,-0.9885,0.27,0.2,0.15,0.24,0.15,rock
0.754,0.708,-8.119,0.0585,0.351,0.0,0.0938,0.804,120.895,0.302,0.3,0.19,0.22,0.3,0.0,rock
0.306,0.253,-11.177,0.0294,0.728,4.89e-05,0.138,0.171,83.175,0.9873,0.28,0.08,0.2,0.32,0.12,rock
0.696,0.736,-7.283,0.048,0.255,0.0,0.117,0.917,88.133,0.9928,0.23,0.0,0.08,0.23,0.46,rock
0.628,0.603,-10.286,0.0312,0.178,1.73e-05,0.0686,0.951,120.782,0.9823,0.3,0.12,0.21,0.12,0.24,rock
0.307,0.237,-13.437,0.0304,0.879,1.65e-05,0.0871,0.194,135.6,0.9784,0.78,0.0,0.0,0.22,0.0,rock
0.581,0.806,-8.158,0.0335,0.156,4.53e-06,0.215,0.87,77.496,0.9829,0.12,0.04,0.12,0.17,0.54,rock
0.539,0.74,-7.874,0.0298,0.169,0.0,0.128,0.688,120.853,0.9584,0.0,0.0,0.13,0.67,0.2,rock
0.27,0.312,-11.306,0.0279,0.701,0.00257,0.116,0.345,79.593,0.9562,0.37,0.05,0.16,0.26,0.16,rock
0.695,0.854,-7.659,0.0351,0.226,0.000408,0.337,0.958,121.271,-0.1441,0.0,0.0,0.54,0.31,0.15,pop
0.601,0.613,-12.907,0.0331,0.48,7.94e-06,0.286,0.961,94.662,-0.9798,0.5,0.0,0.0,0.0,0.5,rock
0.334,0.24,-14.5,0.0327,0.662,8.35e-05,0.634,0.37,94.254,-0.9802,0.36,0.0,0.0,0.61,0.03,rock
0.639,0.385,-13.253,0.0759,0.284,0.00193,0.0873,0.209,131.714,0.5751,0.27,0.2,0.07,0.27,0.2,rock
0.4,0.0897,-19.012,0.0288,0.938,0.000521,0.0847,0.24,70.387,0.09,0.12,0.25,0.19,0.31,0.12,rock
0.555,0.869,-5.479,0.0278,0.0104,0.000156,0.108,0.84,134.892,0.9965,0.56,0.0,0.25,0.12,0.06,rock
0.565,0.761,-9.88,0.0486,0.0488,0.00315,0.0442,0.925,94.893,0.9972,0.44,0.04,0.3,0.15,0.07,rock
0.484,0.562,-8.382,0.0373,0.607,4.13e-06,0.66,0.709,95.266,0.9779,0.14,0.0,0.29,0.14,0.43,pop
0.612,0.694,-9.326,0.0531,0.00691,0.0,0.328,0.739,113.159,0.9255,0.03,0.7,0.07,0.13,0.07,rock
0.422,0.365,-12.983,0.0365,0.00484,0.000736,0.14,0.191,122.769,-0.7513,0.0,0.0,0.0,1.0,0.0,pop
0.284,0.365,-10.958,0.0331,0.669,0.0028,0.272,0.356,140.702,-0.0305,0.36,0.0,0.36,0.09,0.18,pop
0.498,0.336,-13.815,0.0379,0.295,3.44e-05,0.0794,0.346,105.447,0.8316,0.11,0.07,0.19,0.19,0.44,pop
0.75,0.615,-8.956,0.0386,0.0233,0.000165,0.0847,0.979,103.353,0.8886,0.3,0.1,0.1,0.4,0.1,rock
0.553,0.533,-9.562,0.047,0.116,0.324,0.0944,0.514,131.079,0.996,0.58,0.0,0.0,0.17,0.25,rock
0.756,0.879,-5.47,0.0409,0.00377,0.0,0.167,0.92,126.607,0.9912,0.39,0.04,0.39,0.09,0.09,rock
0.366,0.303,-16.191,0.0308,0.678,0.00045,0.113,0.538,83.168,0.91,0.21,0.0,0.21,0.5,0.07,rock
0.644,0.613,-10.67,0.0321,0.739,1.46e-05,0.27,0.919,149.938,-0.2023,0.29,0.0,0.0,0.57,0.14,pop
0.6,0.567,-7.163,0.0398,0.382,0.0,0.213,0.92,101.041,-0.9392,0.16,0.03,0.19,0.22,0.41,pop
0.302,0.521,-5.391,0.0354,0.72,4.74e-06,0.123,0.364,101.814,-0.1966,0.03,0.47,0.31,0.16,0.03,pop
0.241,0.537,-8.166,0.0322,0.503,0.000119,0.165,0.311,84.518,0.9485,0.4,0.1,0.1,0.2,0.2,rock
0.806,0.491,-12.1,0.0419,0.092,0.0682,0.0729,0.963,120.497,0.0258,0.12,0.12,0.12,0.12,0.5,rock
0.443,0.365,-11.829,0.0315,0.592,0.00484,0.0886,0.398,133.156,0.995,0.12,0.24,0.41,0.06,0.18,rock
0.575,0.318,-16.729,0.109,0.683,0.000202,0.0934,0.385,104.522,0.6949,0.0,0.06,0.5,0.12,0.31,rock
0.526,0.509,-10.893,0.0628,0.6,0.0,0.144,0.497,138.318,-0.7911,0.28,0.0,0.1,0.28,0.33,rock
0.294,0.745,-9.138,0.0461,0.05,0.125,0.676,0.347,134.364,-0.9447,0.31,0.31,0.31,0.0,0.08,rock
0.601,0.532,-9.119,0.0286,0.432,6.25e-06,0.0925,0.341,136.571,-0.989,0.07,0.0,0.04,0.26,0.63,rock
0.575,0.67,-10.39,0.0318,0.343,4.95e-06,0.129,0.74,139.191,0.9923,0.15,0.04,0.19,0.26,0.37,rock
0.654,0.506,-17.18,0.0535,0.686,0.0155,0.155,0.831,123.179,-0.9428,0.21,0.1,0.17,0.34,0.17,rock
0.66,0.748,-11.206,0.0284,0.0993,0.00585,0.283,0.972,143.549,0.9832,0.13,0.19,0.32,0.26,0.1,rock
0.716,0.625,-11.369,0.0601,0.396,1.97e-05,0.134,0.826,125.276,0.9644,0.27,0.12,0.15,0.35,0.12,rock
0.414,0.428,-11.097,0.0278,0.382,0.000243,0.148,0.282,145.075,0.7147,0.17,0.04,0.17,0.22,0.39,rock
0.659,0.678,-8.18,0.0313,0.157,6.69e-06,0.0784,0.647,106.186,-0.6255,0.11,0.06,0.17,0.28,0.39,rock
0.365,0.338,-13.406,0.0322,0.735,0.0,0.104,0.446,79.241,0.8705,0.16,0.06,0.1,0.19,0.48,rock
0.682,0.537,-10.254,0.0323,0.218,3.07e-05,0.0556,0.963,124.574,0.7925,0.09,0.09,0.09,0.55,0.18,rock
0.381,0.186,-15.477,0.029,0.613,2.75e-06,0.0694,0.142,65.058,-0.1381,0.13,0.2,0.13,0.2,0.33,rock
0.358,0.387,-14.342,0.0324,0.746,0.0121,0.119,0.495,181.183,0.8496,0.12,0.0,0.5,0.21,0.17,rock
0.48,0.626,-8.406,0.0294,0.266,5.7e-05,0.0857,0.542,75.63,0.5857,0.0,0.09,0.09,0.36,0.45,rock
0.455,0.437,-11.411,0.0278,0.314,0.0,0.501,0.724,81.396,-0.6016,0.06,0.03,0.11,0.53,0.28,rock
0.757,0.868,-9.326,0.062,0.411,0.00221,0.355,0.815,138.923,-0.2732,0.21,0.07,0.0,0.14,0.57,rock
0.431,0.543,-9.96,0.0394,0.122,0.000123,0.0598,0.44,77.507,0.9633,0.25,0.06,0.06,0.38,0.25,rock
0.458,0.869,-8.381,0.032,0.0969,0.0596,0.357,0.813,91.39,0.9486,0.08,0.58,0.21,0.08,0.04,rock
0.429,0.668,-7.539,0.044,0.208,0.0,0.538,0.398,77.737,0.9622,0.13,0.09,0.3,0.17,0.3,rock
0.557,0.693,-11.044,0.0445,0.531,0.00141,0.196,0.747,127.531,-0.9543,0.14,0.14,0.36,0.21,0.14,rock
0.705,0.581,-11.379,0.0455,0.607,1.52e-05,0.117,0.967,163.24,0.9124,0.04,0.21,0.25,0.36,0.14,rock
0.41,0.761,-9.453,0.0687,0.0685,0.00772,0.0758,0.392,132.923,0.9589,0.24,0.09,0.0,0.21,0.47,rock
0.67,0.763,-6.864,0.0341,0.155,0.0,0.0799,0.61,114.398,0.8822,0.23,0.0,0.15,0.0,0.62,rock
0.305,0.849,-4.892,0.0999,0.548,0.000134,0.0995,0.555,134.287,0.9788,0.58,0.0,0.08,0.25,0.08,rock
0.303,0.47,-12.715,0.0512,0.692,0.0,0.339,0.563,168.104,0.8792,0.08,0.08,0.0,0.5,0.33,rock
0.399,0.686,-7.112,0.0311,0.109,0.000874,0.112,0.377,101.806,-0.4588,0.36,0.0,0.05,0.45,0.14,rock
